228,090978392  9,35255417531e-23
228,090978392  7,91144501311e-23
231,667368128  5,6611801699e-23
231,667368128  4,63124412524e-23
235,299834451  3,09941028437e-23
238,989256623  2,29332241712e-23
242,736527692  1,64102908754e-23
246,54255471  1,0271358958e-23
246,54255471  7,34986005141e-24
254,33457613  5,25932770886e-24
262,372865778  3,7634087936e-24
266,486783965  2,97740017324e-24
270,665207003  2,35555377526e-24
274,909146308  2,06040923784e-24
288,04441534  1,63008143897e-24
301,807292782  1,4258366294e-24
306,539529506  1,28962996713e-24
321,186110905  1,16643479192e-24
336,532511825  1,09091445834e-24
369,46012052  9,86702086365e-25
418,42885079  9,22818471762e-25
452,277939994  8,92444865679e-25
496,530517401  8,63070975113e-25
553,660120928  8,34663895474e-25
607,83231283  8,07191805189e-25
688,395206965  7,8062393006e-25
744,083409926  7,30082759643e-25
667,304916057  7,8062393006e-25
710,152060278  7,5493050879e-25
755,750387239  7,30082759643e-25
804,276548306  7,06052848205e-25
882,969995549  6,60339751347e-25
954,398459641  6,38605358179e-25
1064,20924406  5,97259120901e-25
1205,26093687  5,58589828493e-25
1343,93535276  5,22424163275e-25
1475,43105035  5,05229117631e-25
1645,19058775  4,72518269359e-25
1778,27941004  4,56965824084e-25
1952,2729664  4,419252713e-25
2143,29070776  4,27379762601e-25
2352,99834451  4,27379762601e-25
2543,3457613  4,13313004127e-25
2749,09146308  4,13313004127e-25
3065,39529506  4,13313004127e-25
3365,32511825  4,13313004127e-25
3871,13072939  4,13313004127e-25
4593,69505798  4,27379762601e-25
5284,12366578  4,56965824084e-25
5984,48836587  4,72518269359e-25
6883,95206965  5,05229117631e-25
7325,96542822  5,22424163275e-25
7918,60443199  5,58589828493e-25
8559,18537491  5,77600960794e-25
8968,14667758  5,97259120901e-25
9543,98459641  6,17586329859e-25
9845,62393205  6,38605358179e-25
